Gender,Admit,Dept,Freq,Prop
Male,Admitted,A,512,0.852
Female,Admitted,A,89,0.148
Male,Rejected,A,313,0.943
Female,Rejected,A,19,0.057
Male,Admitted,B,353,0.954
Female,Admitted,B,17,0.046
Male,Rejected,B,207,0.963
Female,Rejected,B,8,0.037
Male,Admitted,C,120,0.373
Female,Admitted,C,202,0.627
Male,Rejected,C,205,0.344
Female,Rejected,C,391,0.656
Male,Admitted,D,138,0.513
Female,Admitted,D,131,0.487
Male,Rejected,D,279,0.533
Female,Rejected,D,244,0.467
Male,Admitted,E,53,0.361
Female,Admitted,E,94,0.639
Male,Rejected,E,138,0.316
Female,Rejected,E,299,0.684
Male,Admitted,F,22,0.478
Female,Admitted,F,24,0.522
Male,Rejected,F,351,0.525
Female,Rejected,F,317,0.475
